"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2";"LED";"";"";"";"";"";"";
"2";"";"LEDCHIPLED_0603";"CHIPLED_0603";"BATPWR, CHG";"LED";"";"";"";"";"";"";
"6";"";"PINHD-1X2ROUND";"1X02ROUND";"MOTOR1, MOTOR2, MOTOR3, MOTOR4, POWER, UART";"PIN HEADER";"";"";"";"";"";"";
"3";"";"PINHD-1X3ROUND";"1X03ROUND";"BRIDGE1_EN, BRIDGE2_EN, BT_PROGRAMMING";"PIN HEADER";"";"";"";"";"";"";
"4";"0R2";"R-EU_R0805";"R0805";"R1, R2, R12, R13";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"100SP1T1B4M2QE";"100SP1T1B4M2QE";"100SP1T1B4M2QE";"U$1";"";"";"";"";"";"";"";
"8";"100n";"C-EUC0603";"C0603";"C1, C2, C3, C5, C6, C15, C16, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"10u";"C-EUC1206";"C1206";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"10uF";"C-EUC0805";"C0805";"C4, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"1u";"C-EUC0603";"C0603";"C18, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"1uF";"C-EUC0805";"C0805";"C12";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"2.2u";"C-EUC0603K";"C0603K";"C20, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"2.2uF";"C-EUC0805";"C0805";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"22-23-2051";"22-23-2051";"22-23-2051";"X1, X3";".100" (2.54mm) Center Header - 5 Pin";"MOLEX";"22-23-2051";"1462952";"38C9178";"";"";
"1";"249k";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";
"3";"2k2";"R-EU_R0603";"R0603";"R7, R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"44pF";"C-EUC0603";"C0603";"C13";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"470";"R-EU_R0603";"R0603";"R5, R6";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"470n";"C-EUC0603";"C0603";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";
"3";"47uF";"C-EUC1210";"C1210";"C8, C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"63k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"74LCX125M";"74LCX125M";"SOIC127P600X175-14N";"LEVEL_TRASLATOR";"Low Voltage Quad Buffer with 5V Tolerant Inputs and Outputs";"";"74LCX125M";"1013776";"78K6286";"SOIC-14";"Fairchild";
"2";"A3906";"A3906";"QFN20";"HBRIDGE, HBRIDGE2";"Low Voltage Stepper and Single/Dual DC Motor Driver";"";"";"";"";"";"";
"1";"DC21MMX";"DC21MMX";"DC-21MM";"X2";"";"";"";"";"";"";"";
"1";"HC_05";"HC_05";"BLUETOOTH_SMD";"BLUETOOTH";"HC-05 Bluetooth Module";"";"";"";"";"";"";
"1";"IHLP-3232DZ-01";"IHLP-3232DZ-01";"IHLP-3232DZ-01";"L1";"";"";"";"";"";"";"";
"1";"JST-XHA-3";"JST-XHA-3";"JST-XHA-3";"U$3";"";"";"";"";"";"";"";
"1";"LM43603";"LM43603";"PW_R-PDSO-G16";"IC1";"";"";"";"";"";"";"";
"1";"MCP73213";"MCP73213";"DFN103X3";"BATTERY_CHARGER";"";"";"";"";"";"";"";
"1";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"REGULATOR_3V3";"Voltage Regulator LDO";"";"";"";"";"";"";
